epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2942.2,0.45812,0.34678,0.91243,0.90918,0.86865,0.92956,0.79102,0.62663,0.4766,1.01391,0.000870577,0.000870577,0.000870577
43,5845.77,0.45298,0.34074,0.91036,0.90614,0.8737,0.93057,0.79203,0.62571,0.47499,1.01359,0.000712282,0.000712282,0.000712282
44,8760.49,0.44726,0.33148,0.907,0.90345,0.87694,0.9311,0.79277,0.62609,0.47455,1.01423,0.000571106,0.000571106,0.000571106
45,11681.2,0.44112,0.32254,0.90511,0.91099,0.87172,0.9311,0.79261,0.62694,0.47511,1.01572,0.000447606,0.000447606,0.000447606
46,14596.4,0.43577,0.3147,0.90265,0.91002,0.87319,0.93081,0.79269,0.62795,0.47593,1.01627,0.00034227,0.00034227,0.00034227
47,17505,0.4311,0.309,0.90103,0.91282,0.87289,0.93109,0.79243,0.62897,0.47606,1.01735,0.000255513,0.000255513,0.000255513
48,20414.2,inf,0.30314,0.89888,0.91213,0.87385,0.93123,0.79259,0.62938,0.47639,1.01821,0.000187678,0.000187678,0.000187678
49,23322.3,0.4243,0.29934,0.89792,0.91019,0.87462,0.93121,0.79206,0.63106,0.47787,1.01963,0.000139032,0.000139032,0.000139032
50,26231.3,inf,0.29664,0.89681,0.91509,0.86931,0.93123,0.79173,0.63195,0.4791,1.02031,0.000109768,0.000109768,0.000109768
